"city","state","country","report_summary","report_status","report_type","report_magnitude","land_uses","reporter_name","date_of_reform","last_updated","is_no_mandate_city","population","citation_url","lat","long"
"29 Palms","CA","US","General Commercial and Public zoned areas in the Downtown Commercial Core are exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Ellen Schwartz","Mar 27, 2018","January 1, 2024, 1:57:45 PM PST",0,28158,"https://parkingreform.org/mandates-map/city_detail/29Palms_CA.html",34.1356915,-116.0543506
"Aberdeen","SD","US","Non-residential uses in the C-3 central business district are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:06 AM PST",0,28324,"https://parkingreform.org/mandates-map/city_detail/Aberdeen_SD.html",45.4649805,-98.487813
"Aberdeen","MS","US","The C-1 Central Commercial District is exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","April 2, 2024, 3:37:42 PM PDT",0,4961,"https://parkingreform.org/mandates-map/city_detail/Aberdeen_MS.html",33.8251139,-88.5436553
"Abilene","KS","US","No off-street parking facilities are required in the C-4 Central Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:09 AM PST",0,6460,"https://parkingreform.org/mandates-map/city_detail/Abilene_KS.html",38.917252,-97.21377
"Abilene","TX","US","Existing buildings within the Central Business (CB) district are exempt from parking requirements. On-street parking may count towards minimums for new development in the district.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","February 22, 2024, 2:24:55 PM PST",0,125182,"https://parkingreform.org/mandates-map/city_detail/Abilene_TX.html",32.44645,-99.7475905
"Ackley","IA","US","The C-2 Central Business Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,1599,"https://parkingreform.org/mandates-map/city_detail/Ackley_IA.html",42.5539454,-93.0526788
"Ada","OK","US","The following area is exempt from off-street automobile parking requirements: Blocks 82, 83, 84, 90, 91, 92, 93, 96, 97, 98, 99, 100, 104, 105, 106 and 107, all in the original townsite of the city. ","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,16481,"https://parkingreform.org/mandates-map/city_detail/Ada_OK.html",34.7743383,-96.6783651
"Adrian","MI","US","The B-3 Central Business District is exempt from parking mandates. Parking maximums are set at 120% of the minimums.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","All Uses","Samuel Deetz","","March 31, 2024, 11:48:01 AM PDT",0,20645,"https://parkingreform.org/mandates-map/city_detail/Adrian_MI.html",41.8975152,-84.0373054
"Aiken","SC","US","Off-street parking is not required for uses located in the Central Business District of the DB Zone District. In addition, off-street parking is not required for religious institutions located in any Historic District listed on the Aiken Historic Register.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,32025,"https://parkingreform.org/mandates-map/city_detail/Aiken_SC.html",33.5598586,-81.721952
"Aitkin","MN","US","Commercial developments within the Downtown Mixed Use District are exempt from the parking requirements. Surface parking may not exceed 125% of the minimum parking requirements within the DMU District.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","December 28, 2023, 5:04:18 PM PST",0,2168,"https://parkingreform.org/mandates-map/city_detail/Aitkin_MN.html",46.5333985,-93.7096936
